source,clickbait,methods,gpt_zero_shot_clickbait,gpt_few_shot_clickbait,gemini_zero_shot_clickbait,gemini_few_shot_clickbait,gpt_zero_shot_source,gpt_few_shot_source,gemini_zero_shot_source,gemini_few_shot_source
Ukraine uses longer-range US missiles for first time,You Won't Believe What Just Happened: Ukraine Unleashes the Ultimate Game-Changer - But Can They Handle the Consequences?,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Hundreds of villagers killed in Burkina Faso army revenge attack - report,What's Really Going On in Burkina Faso? Can You Handle the Truth About the Tragic Event That's Left Everyone Asking Questions?,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Arizona indicts Trump allies over fake elector scheme,The Biggest Scandal of the Century: Arizona Indicts Trump Allies in a Shocking Move That Will Change Everything,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])"
Meta AI spending plans cause share price slump,The Mysterious Case of Meta's AI Spending: What's Behind the Sudden Share Price Slump - and How Will It Affect Your Future?,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Spain's PM halts public duties as wife faces inquiry,The Top 5 Things You Need to Know About Spain's PM: What's Really Going On Behind the Scenes - and What's Next?,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Lists/Superlatives', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Emotional Triggers'])"
Gaza protesters clash with police at US universities,The 10 Most Shocking Moments from the Gaza Protests: You Won't Believe What's Happening on US Campuses - and It's Only the Beginning,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Lists/Superlatives', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Inside Columbia's campus as students protest,What's Really Happening Inside Columbia's Campus? The Surprising Truth About the Protests - and How You Can Be a Part of It,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Gag orders and tabloid schemes at Trump trial,The Top 5 Bombshells from the Trump Trial: You Won't Believe the Secrets That Are Being Kept from You - and What's Still to Come,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0]","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Exaggeration', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])"
Arrests and anger at US university pro-Palestinian demos,The Shocking Truth About the Pro-Palestinian Demos: What's Really Going On - and Why You Need to Know About It,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","('Yes', ['Sensationalism', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Curiosity Gap', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
BBC witnesses boarding of boat which left five dead,The 5 Most Chilling Details from the Deadly Boat Incident: A BBC Exclusive You Won't Want to Miss,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Blinken says China helping fuel Russian threat to Ukraine,You Won't Believe Who's Secretly Fueling the Russian Threat to Ukraine,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Ambiguous References', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
China warns US not to step on its 'red lines',The One Thing China Doesn't Want You to Do - But What Happens If You Do?,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
MeToo founder defiant after Weinstein wins rape appeal,The Shocking Truth About the MeToo Founder's Next Move - You Won't See This Coming,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","('Yes', ['Sensationalism', 'Exaggeration', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Unfinished Narratives', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
Watch US House pass critical Ukraine aid package,The Top 5 Reasons You Need to Watch This Historic Moment for Ukraine - It Will Give You Chills,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Sensationalism'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Exaggeration', 'Direct Appeals'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"'Stay strong,' parents tell Gaza hostage after video",The Heartbreaking Message from a Hostage's Parents - But What's Happening Next?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Curiosity Gap', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Unfinished Narratives'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Blinken arrives in China as relations crackle with tension,The World Holds Its Breath as Blinken Arrives in China - Will This Be the Moment That Changes Everything?,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","('Yes', ['Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Exaggeration', 'Provocative Questions'])","('Yes', ['Sensationalism', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
When could TikTok be banned under new US law?,The TikTok Ban: Is Your Favorite App on the Brink of Disaster? The Answer Will Shock You,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Provocative Questions'])","('No', ['None'])","('Yes', ['Provocative Questions', 'Curiosity Gap'])","('Yes', ['Provocative Questions', 'Ambiguous References'])"
Tough questions as Supreme Court debates Trump's immunity claim,The Top 3 Questions That Will Decide Trump's Fate - The Answers Will Leave You Speechless,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Sensationalism', 'Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers', 'Curiosity Gap', 'Exaggeration'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Provocative Questions', 'Sensationalism'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Mining giant BHP proposes buyout of Anglo American,The Biggest Mining Deal of the Year: What You Need to Know About the Top 2 Players Involved,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Police arrest Gaza protesters at Emory University,You Need to See What's Happening at Emory University Right Now - It's a Call to Action,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","('Yes', ['Direct Appeals', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Direct Appeals', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Direct Appeals'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
More arrests as US campus protests continue to spread,What's Really Happening on US Campuses? You Won't Believe the Shocking Truth Behind the Protests That Are Spreading Like Wildfire - Top 5 Reasons Why,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Exaggeration', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Lists/Superlatives'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Lists/Superlatives', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
'The boss' featured at Trump hush-money trial,BOMBSHELL: 'The Boss' Takes Center Stage in Trump's Hush-Money Trial - You Won't Believe What Happened Next!,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Curiosity Gap', 'Emotional Triggers'])","('Yes', ['Sensationalism', 'Curiosity Gap', 'Emotional Triggers', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Sensationalism', 'Unfinished Narratives', 'Exaggeration'])","('Yes', ['Sensationalism', 'Unfinished Narratives'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Sensationalism'])","('Yes', ['Ambiguous References'])","('Headline', ['The boss', 'featured at', 'Trump hush', 'money trial', 'No', 'None'])"
Overturning of Weinstein conviction 'a hard day',The Weinstein Verdict: A Dark Day for Justice? What This Means for You and the Future of Accountability - The Untold Story,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Curiosity Gap', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Unfinished Narratives', 'Direct Appeals', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('Yes', ['Emotional Triggers', 'Sensationalism'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism'])"
TikTok's Chinese parent firm says no plans to sell,The TikTok Takeover: What's Really at Stake? Top 3 Reasons Why China's Refusal to Sell Will Change Everything,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Exaggeration'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Provocative Questions', 'Exaggeration', 'Lists/Superlatives', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
Where are the Gaza protests at US universities?,The Silent Majority: Why Are US Universities Ignoring the Gaza Protests? Top 5 Questions You Need to Ask Yourself - The Surprising Truth,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Provocative Questions', 'Emotional Triggers'])","('Yes', ['Curiosity Gap', 'Exaggeration', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Lists/Superlatives', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Lists/Superlatives', 'Curiosity Gap', 'Emotional Triggers'])","('No', ['None'])","('No', ['None'])","('Yes', ['Curiosity Gap', 'Provocative Questions'])","('Yes', ['Provocative Questions'])"
Ballet dancers and yawning lions: Africa's top shots,Africa's Most Heartwarming Moments: Get Ready to Smile with the Top 10 Photos You Won't Want to Miss,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Lists/Superlatives', 'Emotional Triggers'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Lists/Superlatives', 'Direct Appeals'])","('Yes', ['Unexpected Associations', 'Curiosity Gap'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])","('Yes', ['Unexpected Associations', 'Curiosity Gap'])","('Yes', ['Unexpected Associations'])"
"China and US should be partners, not rivals, Xi tells Blinken",A New Era of Cooperation? What Xi's Shocking Statement to Blinken Really Means for You and the Future of Global Politics - The Untold Story,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","('Yes', ['Curiosity Gap', 'Sensationalism', 'Emotional Triggers', 'Provocative Questions', 'Ambiguous References'])","('Yes', ['Exaggeration', 'Sensationalism', 'Ambiguous References', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Direct Appeals', 'Ambiguous References'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
AI Tupac track vanishes from Drake's Instagram,The Mysterious Case of the Vanishing Tupac Track: What Really Happened? Top 3 Theories You Need to Know - The Curious Truth,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Provocative Questions', 'Lists/Superlatives', 'Sensationalism'])","('Yes', ['Curiosity Gap', 'Lists/Superlatives', 'Unfinished Narratives', 'Provocative Questions'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Lists/Superlatives', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Curiosity Gap', 'Sensationalism', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Ambiguous References', 'Unfinished Narratives'])","('Yes', ['Curiosity Gap', 'Unexpected Associations'])"
Tate sexual assault trial to go ahead in Romania,The Shocking Trial That Will Change Everything: Tate's Descent into Darkness - The Unbelievable Truth You Never Saw Coming,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","('Yes', ['Exaggeration', 'Sensationalism', 'Emotional Triggers', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Exaggeration', 'Emotional Triggers', 'Ambiguous References'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Exaggeration', 'Curiosity Gap'])","('Yes', ['Sensationalism', 'Emotional Triggers', 'Unfinished Narratives', 'Exaggeration'])","('No', ['None'])","('No', ['None'])","('No', ['None'])","('No', ['None'])"
"If China won't act, we will - Blinken",Blinken's Bold Warning to China: What's Really at Stake? Will the US Take Drastic Action - The World Holds Its Breath,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","('Yes', ['Curiosity Gap', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Exaggeration', 'Emotional Triggers', 'Sensationalism', 'Provocative Questions'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism', 'Curiosity Gap'])","('Yes', ['Emotional Triggers', 'Provocative Questions', 'Sensationalism'])","('Yes', ['Provocative Questions', 'Sensationalism'])","('No', ['None'])","('Yes', ['Emotional Triggers', 'Sensationalism', 'Direct Appeals'])","('Yes', ['Emotional Triggers', 'Direct Appeals'])"
